date,open,high,low,close,volume
04-05-1999,59.119,60.0913,54.4517,54.7473,22320900
05-05-1999,54.3584,54.3584,51.5347,53.7749,7565700
06-05-1999,52.8959,53.9694,52.1647,52.8493,2905700
07-05-1999,52.8493,58.2478,51.9236,57.6644,4862300
10-05-1999,57.0809,57.1743,54.6462,54.9884,2589400
11-05-1999,54.4517,55.3774,54.0628,54.9418,1839800
12-05-1999,55.2296,58.2478,53.7749,57.1743,2659300
13-05-1999,56.9798,58.5356,56.3964,57.7577,1142900
14-05-1999,55.4241,56.2019,53.7205,54.5995,2058400
17-05-1999,53.7749,54.6462,52.8959,53.386,2075000
18-05-1999,53.0904,54.794,52.9971,53.386,1407100
19-05-1999,53.9694,54.3039,53.4794,53.915,727400
20-05-1999,54.1094,54.5528,53.1915,53.1915,520800
21-05-1999,52.9971,53.526,52.507,52.507,936200
24-05-1999,52.1181,52.3125,50.5623,50.8034,1493000
25-05-1999,49.8855,51.2935,49.7844,50.1734,1662400
26-05-1999,51.0524,51.8302,49.0532,51.3869,1602900
27-05-1999,50.5623,52.7015,50.3212,52.7015,1220500
28-05-1999,52.7015,53.526,52.1181,52.8493,901900
01-06-1999,51.8302,51.8302,49.4421,49.9322,953900
02-06-1999,49.5899,49.8311,48.2287,49.201,2204300
03-06-1999,49.7844,49.9322,49.1077,49.4966,852600
04-06-1999,50.0256,52.1181,50.0256,50.8579,1357400
07-06-1999,50.7101,52.7015,50.7101,51.2935,891900
08-06-1999,50.8579,51.099,49.5899,49.5899,571700
09-06-1999,49.9789,50.9512,49.4966,50.9512,611400
10-06-1999,50.469,50.5156,49.2477,49.3021,664200
11-06-1999,49.7377,50.0256,48.4698,48.9599,969300
14-06-1999,49.3955,49.7844,47.0618,47.6452,821100
15-06-1999,48.9132,49.3021,48.4231,48.8121,831700
16-06-1999,49.7377,50.9046,49.7377,50.7568,690300
17-06-1999,50.1734,52.0247,50.1734,50.5623,955700
18-06-1999,49.9789,50.469,49.3955,50.4145,613900
21-06-1999,51.8769,54.405,51.7758,54.0628,1811000
22-06-1999,54.5528,54.5528,52.7015,52.8959,1165900
23-06-1999,52.1647,52.4603,50.469,50.5623,1351700
24-06-1999,51.3869,51.7291,50.1734,50.609,1408900
25-06-1999,50.9512,51.9703,50.8579,51.5347,1111500
28-06-1999,51.6824,52.507,51.1457,51.7758,784600
29-06-1999,51.3402,53.2849,51.3402,52.7015,629800
30-06-1999,53.2849,56.2019,51.4413,56.2019,2127600
01-07-1999,55.5252,55.5719,54.2572,55.0818,813600
02-07-1999,54.8873,55.3774,54.2106,55.1829,536900
06-07-1999,54.4517,55.3774,53.8683,54.8406,747600
07-07-1999,54.1094,54.4517,52.8959,52.8959,648800
08-07-1999,52.8959,53.5805,52.2659,52.3125,424400
09-07-1999,52.4603,53.0437,52.3125,52.3125,312700
12-07-1999,52.8959,53.6272,52.8026,53.1915,547700
13-07-1999,53.0904,53.4327,52.6081,52.8026,969600
14-07-1999,52.4137,52.7015,52.3592,52.6081,888200
15-07-1999,52.8959,52.8959,52.507,52.8493,864700
16-07-1999,52.7015,53.4794,52.7015,52.9426,476700
19-07-1999,53.0904,55.0351,53.0904,54.0161,646100
20-07-1999,53.7749,54.794,52.8026,52.9971,886100
21-07-1999,52.8959,52.9426,52.2192,52.8026,626100
22-07-1999,52.9971,53.0904,51.7291,51.7291,579500
23-07-1999,51.6358,51.6358,49.7844,49.8311,767200
26-07-1999,49.9789,50.3678,49.1543,49.201,749500
27-07-1999,49.9789,51.1457,49.2477,50.9512,592200
28-07-1999,50.7568,51.6358,49.7844,51.3869,584800
29-07-1999,50.9512,50.9512,50.1734,50.5623,646000
30-07-1999,50.5623,50.5623,49.4966,50.0256,629600
02-08-1999,49.9789,50.22,48.5242,48.8587,566400
03-08-1999,48.8587,48.8587,47.2563,47.303,837700
04-08-1999,47.1085,47.8397,46.6729,46.6729,1281600
05-08-1999,46.5251,46.6729,44.9693,46.0895,1539900
06-08-1999,45.8483,45.8483,43.5614,43.7558,1308500
09-08-1999,43.9503,44.7282,43.4136,43.4136,1347500
10-08-1999,43.848,44.5807,43.0217,44.4326,1817400
11-08-1999,45.1186,47.9872,44.7756,47.9404,1369200
12-08-1999,47.8937,48.4783,47.2077,47.309,832800
13-08-1999,48.6732,49.3046,48.377,49.211,557400
16-08-1999,49.1097,49.1097,47.4571,49.0162,762600
17-08-1999,49.3046,50.279,48.8213,49.1097,936900
18-08-1999,49.1097,49.1097,47.5974,48.5718,819300
19-08-1999,48.0418,48.7199,47.4026,48.0885,624600
20-08-1999,48.1821,111.4712,48.0418,48.6732,439600
23-08-1999,48.9616,49.7411,48.8213,49.6008,837200
24-08-1999,49.5462,50.6687,48.9616,49.4527,894200
25-08-1999,49.211,50.1309,48.5718,49.8892,449900
26-08-1999,49.8892,50.5752,48.9148,48.9148,378400
27-08-1999,49.1097,49.1097,47.9404,47.9872,265300
30-08-1999,48.1353,48.1353,46.2333,46.2333,438100
31-08-1999,46.3814,47.1609,45.75,46.623,496600
01-09-1999,47.2077,47.309,46.623,47.0128,560100
02-09-1999,46.3814,47.1141,45.8981,46.1865,727600
03-09-1999,47.3558,49.211,47.3558,49.211,754900
07-09-1999,49.1097,50.2322,48.6732,48.7199,813600
08-09-1999,48.6732,49.6008,48.4315,48.7667,732100
09-09-1999,48.7199,48.7667,47.5507,48.1353,448800
10-09-1999,48.6264,49.1799,48.0418,49.1799,636300
13-09-1999,48.4783,48.9616,48.3302,48.4315,250700
14-09-1999,47.8469,47.8469,45.7968,46.2878,1160600
15-09-1999,46.8725,46.8725,45.2589,45.4538,970200
16-09-1999,45.6486,46.093,44.7756,44.9705,753200
17-09-1999,45.7032,46.8179,45.6019,46.8179,1116700
20-09-1999,46.8179,47.3558,46.3814,47.3558,721800
21-09-1999,47.2077,48.1353,45.5083,46.093,2369100
22-09-1999,46.7244,48.3302,46.0384,47.7923,1534700
23-09-1999,48.1353,48.5251,47.3558,47.4026,889800
